Species	Single	Duplicate	Fragmented	Missing
DERSIL	90.4 4.7 1.6 3.3
HAELON	80.9 3.0 2.1 14.0
DYSSIL	72.1 3.6 5.3 19.0
ECTDAV	88.7 7.2 0.9 3.2
HYLGRA	75.6 21.6 0.7 2.1
ULODIV	84.9 7.5 2.0 5.6
OEDGIB	74.4 3.6 0.9 21.1
PARTEP	92.4 4.6 1.2 1.8
LATELE	93.4 5.0 0.4 1.2
ARGBRU	92.5 6.1 0.5 0.9
TRIANT	91.5 5.7 0.6 2.2
TRICLA	89.1 8.1 0.7 2.1
CARROT	72.3 24.9 0.4 2.4
TACGIG	72.8 23.7 1.7 1.8
