Species	Singleton	Dispersed	Proximal	Tandem	WGD
DYSSIL	10.236220472440944	71.21609798775154	6.692913385826772	9.711286089238845	2.1434820647419075
ECTDAV	5.948609644491376	67.01865540302711	10.454065469904963	11.826821541710665	4.7518479408658925
ARGBRU	5.712019040063467	62.19754065846887	8.369694565648553	17.215390717969058	6.505355017850059
TRIANT	4.618768328445748	66.42228739002933	6.268328445747801	16.348973607038122	6.341642228739003
TRICLA	3.9669421487603307	60.0	9.61038961038961	12.70365997638725	13.71900826446281
PARTEP	5.966767371601208	65.74773413897282	7.590634441087614	18.693353474320244	2.001510574018127
LATELE	7.593070401769259	67.63730187983782	6.708440840398083	13.380022115739035	4.681164762255805
ULODIV	6.130030959752323	66.9969040247678	9.009287925696595	10.557275541795667	7.306501547987616
OEDGIB	8.37874659400545	72.54768392370572	7.970027247956403	8.71934604904632	2.3841961852861036
HYLGRA	4.8506151142355005	51.17750439367311	12.65377855887522	15.325131810193321	15.992970123022848
CARROT	1.389124174148738	29.44265627646959	2.812129425715738	4.201253599864476	62.15483652380146
TACGIG	1.7208413001912046	30.83173996175908	2.8680688336520075	4.0312300828553225	60.54811982154238
