Species	Inflation	Paralog.type	Gene.count
ECTDAV	1.6	Singleton	14602
ECTDAV	1.6	Dispersed	9385
ECTDAV	1.6	Proximal	1839
ECTDAV	1.6	Tandem	1880
ECTDAV	1.6	WGD	0
HYLGRA	1.6	Singleton	12678
HYLGRA	1.6	Dispersed	11853
HYLGRA	1.6	Proximal	3091
HYLGRA	1.6	Tandem	1782
HYLGRA	1.6	WGD	3027
ULODIV	1.6	Singleton	11721
ULODIV	1.6	Dispersed	13857
ULODIV	1.6	Proximal	1896
ULODIV	1.6	Tandem	1605
ULODIV	1.6	WGD	140
OEDGIB	1.6	Singleton	12311
OEDGIB	1.6	Dispersed	5079
OEDGIB	1.6	Proximal	730
OEDGIB	1.6	Tandem	954
OEDGIB	1.6	WGD	42
LATELE	1.6	Singleton	19879
LATELE	1.6	Dispersed	12504
LATELE	1.6	Proximal	1340
LATELE	1.6	Tandem	1267
LATELE	1.6	WGD	666
PARTEP	1.6	Singleton	11518
PARTEP	1.6	Dispersed	9911
PARTEP	1.6	Proximal	1427
PARTEP	1.6	Tandem	1414
PARTEP	1.6	WGD	0
ARGBRU	1.6	Singleton	17212
ARGBRU	1.6	Dispersed	11515
ARGBRU	1.6	Proximal	1605
ARGBRU	1.6	Tandem	1435
ARGBRU	1.6	WGD	288
TRIANT	1.6	Singleton	12995
TRIANT	1.6	Dispersed	9721
TRIANT	1.6	Proximal	1182
TRIANT	1.6	Tandem	1264
TRIANT	1.6	WGD	0
TRICLA	1.6	Singleton	15057
TRICLA	1.6	Dispersed	19165
TRICLA	1.6	Proximal	2452
TRICLA	1.6	Tandem	2014
TRICLA	1.6	WGD	992
CARROT	1.6	Singleton	16768
CARROT	1.6	Dispersed	8481
CARROT	1.6	Proximal	1113
CARROT	1.6	Tandem	957
CARROT	1.6	WGD	2058
TACGIG	1.6	Singleton	25072
TACGIG	1.6	Dispersed	12067
TACGIG	1.6	Proximal	2122
TACGIG	1.6	Tandem	2137
TACGIG	1.6	WGD	3116
