Species	Singleton	Dispersed	Proximal	Tandem	WGD
DYSSIL	0.0	93.48206474190727	3.062117235345582	3.4558180227471564	0.0
ECTDAV	0.0	93.27701513551567	3.37909186906019	2.99190425906371	0.3519887363604365
ARGBRU	0.0	93.45497818326061	3.17334391114637	3.2526775089250295	0.1190003966679889
TRIANT	0.0	92.81524926686217	3.44574780058651	3.73900293255132	0.0
TRICLA	0.0	94.14403778040142	2.550177095631641	2.7863046044864226	0.5194805194805194
PARTEP	0.0	94.75075528700906	2.22809667673716	3.0211480362537766	0.0
LATELE	0.0	94.69222263177295	2.5433099889421307	2.5801695539992626	0.18429782528566163
ULODIV	0.0	92.47678018575851	3.8390092879256965	3.684210526315789	0.0
OEDGIB	0.0	93.73297002724796	2.861035422343324	3.337874659400545	0.06811989100817438
HYLGRA	0.0	85.23725834797891	5.23725834797891	3.4094903339191567	6.115992970123023
CARROT	0.0	70.69286803320345	0.7792647806200237	1.338302558021345	27.18956462815518
TACGIG	0.0	68.59464627151051	0.8922880815806247	2.07138304652645	28.44168260038241
